term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
benefit contribution,1,0,4.782285900960702,0.4758785582324755
long-term stability,1,0,4.782285900960702,0.4758785582324755
exceeding budget,1,0,4.782285900960702,0.4758785582324755
interests collective,1,0,4.782285900960702,0.4758785582324755
climate role,1,0,4.782285900960702,0.4758785582324755
contribution benefit,1,0,4.782285900960702,0.4758785582324755
players choose,1,0,4.782285900960702,0.4758785582324755
allowed maximize,1,0,4.782285900960702,0.4758785582324755
nothing maintain,1,0,4.782285900960702,0.4758785582324755
lack consistent,1,0,4.782285900960702,0.4758785582324755
necessary maintain,1,0,4.782285900960702,0.4758785582324755
following sfi,1,0,4.782285900960702,0.4758785582324755
align pattern,1,0,4.782285900960702,0.4758785582324755
contributors doing,1,0,4.782285900960702,0.4758785582324755
fair institution,1,0,4.782285900960702,0.4758785582324755
budget developed,1,0,4.782285900960702,0.4758785582324755
contribute maintain,1,0,4.782285900960702,0.4758785582324755
achieve cooperate,1,0,4.782285900960702,0.4758785582324755
high-contributors deviated,1,0,4.782285900960702,0.4758785582324755
significantly standard,1,0,4.782285900960702,0.4758785582324755
low-contrib sfi,1,0,4.782285900960702,0.4758785582324755
cooperate choose,1,0,4.782285900960702,0.4758785582324755
budget maintain,1,0,4.782285900960702,0.4758785582324755
experience high,1,0,4.782285900960702,0.4758785582324755
framework choose,1,0,4.782285900960702,0.4758785582324755
considering historical,1,0,4.782285900960702,0.4758785582324755
selfish framework,1,0,4.782285900960702,0.4758785582324755
large contribution,1,0,4.782285900960702,0.4758785582324755
selfish individualism,1,0,4.782285900960702,0.4758785582324755
sufficient wealth,1,0,4.782285900960702,0.4758785582324755
aligns strategy,1,0,4.782285900960702,0.4758785582324755
budgets contribution,1,0,4.782285900960702,0.4758785582324755
situation mcpr,1,0,4.782285900960702,0.4758785582324755
strategy necessarily,1,0,4.782285900960702,0.4758785582324755
incentivization approach,1,0,4.782285900960702,0.4758785582324755
cumulative payoffs,1,0,4.782285900960702,0.4758785582324755
average considering,1,0,4.782285900960702,0.4758785582324755
reduction choose,1,0,4.782285900960702,0.4758785582324755
considering interests,1,0,4.782285900960702,0.4758785582324755
inspection sfi,1,0,4.782285900960702,0.4758785582324755
maximum possible,1,0,4.782285900960702,0.4758785582324755
self-interest moderate,1,0,4.782285900960702,0.4758785582324755
self-focused institution,1,0,4.782285900960702,0.4758785582324755
emerge low,1,0,4.782285900960702,0.4758785582324755
institution peer,1,0,4.782285900960702,0.4758785582324755
payoff supporting,1,0,4.782285900960702,0.4758785582324755
peers exceptions,1,0,4.782285900960702,0.4758785582324755
inspection institution,1,0,4.782285900960702,0.4758785582324755
institution settings,1,0,4.782285900960702,0.4758785582324755
consistently contribution,1,0,4.782285900960702,0.4758785582324755
impact future,1,0,4.782285900960702,0.4758785582324755
data shows,1,0,4.782285900960702,0.4758785582324755
cooperate beneficial,1,0,4.782285900960702,0.4758785582324755
allowed budget,1,0,4.782285900960702,0.4758785582324755
mcpr influence,1,0,4.782285900960702,0.4758785582324755
valid strategy,1,0,4.782285900960702,0.4758785582324755
focusing moderate,1,0,4.782285900960702,0.4758785582324755
maintain institution,1,0,4.782285900960702,0.4758785582324755
likely due,1,0,4.782285900960702,0.4758785582324755
incentivizing framework,1,0,4.782285900960702,0.4758785582324755
incentives sfi,1,0,4.782285900960702,0.4758785582324755
return peer,1,0,4.782285900960702,0.4758785582324755
avoid free-rider,1,0,4.782285900960702,0.4758785582324755
behavior takes,1,0,4.782285900960702,0.4758785582324755
earn significant,1,0,4.782285900960702,0.4758785582324755
maintain high,1,0,4.782285900960702,0.4758785582324755
maintain long-term,1,0,4.782285900960702,0.4758785582324755
allows future,1,0,4.782285900960702,0.4758785582324755
others free-ride,1,0,4.782285900960702,0.4758785582324755
ride still,1,0,4.782285900960702,0.4758785582324755
playing snowdrift,1,0,4.782285900960702,0.4758785582324755
cooperate within,1,0,4.782285900960702,0.4758785582324755
others maximize,1,0,4.782285900960702,0.4758785582324755
contributors deviate,1,0,4.782285900960702,0.4758785582324755
framework peers,1,0,4.782285900960702,0.4758785582324755
free-riders present,1,0,4.782285900960702,0.4758785582324755
reason contribute,1,0,4.782285900960702,0.4758785582324755
rounds indicating,1,0,4.782285900960702,0.4758785582324755
ensure strong,1,0,4.782285900960702,0.4758785582324755
